video_id,title,object_name,ra,dec,is_moving,category
GMs7oqvHJ9w,"Once Around The Pistol Star","The Pistol Star",266.5635,-28.834327777777776,false,fixed
mr-4qx4TonI,"Once Around The Magellanic Clouds","The Magellanic Clouds",80.89416666666668,-69.75611111111111,false,fixed
QjHyei4PRWw,"The Milky Way's Family Tree","Galactic Center",266.4166666666667,-29.00777777777778,false,other
kFVpcocENxI,"Once Around The Goblin","The Goblin",,,true,moving
SH2KZQrJaf4,"Once Around Vega","Vega",279.23473479166665,38.78368894444444,false,fixed
7CCD_k8Ng0k,"Once Around Mercury","Mercury",,,true,moving
6Yd59xomZrc,"Once Around Vulcan","Vulcan",,,true,moving
ioUvGDRMrC8,"Once Around Asteroid Apophis","Asteroid Apophis",,,true,moving
SIJx3967olA,"Once Around Altair","Altair",297.69582729166666,8.868321194444444,false,fixed
aKMmeLhVRC4,"Once Around TON618","TON618",187.10402488561,31.47711916322,false,fixed
Gf-2Fpt1T58,"Once Around Venus","Venus",,,true,moving
OeNtqQwKvCA,"Once Around Deneb","Deneb",310.35797974999997,45.28033880555555,false,fixed
yNw0J44zF4o,"Once Around Tabbys Star","Tabbys Star",301.5643860504275,44.45688635254389,false,fixed
nmLQ9pw4BWs,"Once Around Vesta","Vesta",,,true,moving
3MV2FpcgjtQ,"Once Around Ceres","Ceres",,,true,moving
xgSF8C5epm8,"Once Around Albireo","Albireo",292.68031501400833,27.959673631221666,false,fixed
h2VJ7Zj0P_8,"Once Around the Hyades","the Hyades",67.61416666666666,16.77861111111111,false,fixed
nhdcc_PgQZs,"Once Around The Crab Nebula","The Crab Nebula",83.6325,22.0175,false,fixed
4S9gCsfnSGE,"Once Around the Whirlpool Galaxy","the Whirlpool Galaxy",202.469575,47.19525833333333,false,fixed
NY1SsOGM_yw,"Once Around Eta Carina","Eta Carina",161.26477419999998,-59.684430899999995,false,fixed
Dt4dnqlzlQs,"Once Around Sagittarius A","Sagittarius A",266.416816625,-29.007824972222224,false,fixed
5PApG9c0v6c,"Once Around The Beehive Cluster","The Beehive Cluster",129.99333333333334,19.609166666666667,false,fixed
sipNso1zklg,"Once Around The Pleiades","The Pleiades",56.65833333333333,24.178055555555556,false,fixed
aJbsl1est88,"Once Around Ultima Thule","Ultima Thule",,,true,moving
NoFbIvVc2v0,"Once Around the Centaurs","the Centaurs",,,true,moving
z3AvYfuXpb8,"Once Around Arcturus","Arcturus",213.91530029166665,19.18240916666667,false,fixed
rnrTCepk6aA,"Once Around Capella","Capella",79.17232795833334,45.997991472222225,false,fixed
tstA9fSPnPU,"Once Around Algol - the demon star","Algol - the demon star",47.04221855625,40.95564667027778,false,fixed
7vjTKGN2VD8,"Once Around Przybylskis Star","Przybylskis Star",174.40433733673,-46.70968829912,false,fixed
M8qM4CGEHZM,"Once Around the Lost Asteroid Hermes","the Lost Asteroid Hermes",,,true,moving
aBzksdM_pSM,"Once Around Polaris","Polaris",37.954560666666666,89.26410897222222,false,fixed
QnfXtX8bGSs,"Once Around Asteroid Bennu","Asteroid Bennu",,,true,moving
9w5z5lpA_mY,"Once Around Sirius","Sirius",101.28715533333333,-16.71611586111111,false,fixed
YUM9jF-Fnq4,"Betelgeuse, will it supernova tomorrow?","Betelgeuse",88.79291666666667,7.406944444444445,false,other
JmMujpRrHQI,"A new look at Barnard's Star","Barnard's Star",269.45208333333335,4.693333333333333,false,other
AEFBMr2ec6A,"Once Around K2 18b","K2 18b",172.56049060233002,7.588404263469999,false,fixed
4YJ6XYVN2fg,"Once Around 40 Eridani","40 Eridani",63.81799841247708,-7.652869660838333,false,fixed
qYvoM_wJOf4,"Once Around Tau Ceti","Tau Ceti",26.017013071634167,-15.93747989102139,false,fixed
FBggG5xPq6A,"Once Around Epsilon Eridani","Epsilon Eridani",53.23268537982792,-9.458260970518054,false,fixed
tE6AWxOdEjg,"The Blaze Star : T Coronae Borealis","T Coronae Borealis",239.87583333333333,25.92027777777778,false,other
_S4dcf9C38o,"Galaxies and The Milky Way   I2A5   Brian Lister","Galactic Center",266.4166666666667,-29.00777777777778,false,other
J_ZwmBq5jeE,"I2APt5   Galaxies and the Milky Way","Galactic Center",266.4166666666667,-29.00777777777778,false,other
Xe5dTYbn5HA,"Once Around The Methuselah Star","The Methuselah Star",235.76290466259124,-10.933498803663333,false,fixed
Nj7uaBnCGU8,"Once Around the Fireworks Galaxy","the Fireworks Galaxy",308.71805,60.15367777777777,false,fixed
2zvGO0n6NJw,"Once Around Barnards Star","Barnards Star",269.45207695861876,4.693364966576667,false,fixed
xdWKXZezkYY,"Once Around Alpha Centauri","Alpha Centauri",219.90208333333334,-60.83397222222222,false,fixed
ILwDC9PQ3hw,"Once Around Cygnus X 1","Cygnus X 1",299.59031556498,35.201606809080005,false,fixed
SrGvP8G0Tr8,"Once around Planet Nine","Planet Nine",,,true,moving
T2cpgbUgGXg,"Once around the Ice Giants","the Ice Giants",,,true,moving
JrqSGS9HHV4,"Once around Saturn","Saturn",,,true,moving
udTPZx6tAyo,"Once around Jupiter","Jupiter",,,true,moving
