video_id,title,object_name,ra,dec,is_moving,url
BbOrWeC3boo,"Once Around Epsilon Lyrae","Epsilon Lyrae",281.084775,39.670126,false,https://www.youtube.com/watch?v=BbOrWeC3boo
j4pofxYKsfg,"Once Around V838 Monocerotis","V838 Monocerotis",106.020092,-3.847402,false,https://www.youtube.com/watch?v=j4pofxYKsfg
wN0KEVdzLI0,"Once Around Cor Caroli","Cor Caroli",194.006940,38.318376,false,https://www.youtube.com/watch?v=wN0KEVdzLI0
2dZgQn-9n2Q,"Once Around Gamma Andromeda","Gamma Andromeda",30.974801,42.329728,false,https://www.youtube.com/watch?v=2dZgQn-9n2Q
IuBYBHU3XpQ,"Once Around Epsilon Indi","Epsilon Indi",330.840223,-56.785979,false,https://www.youtube.com/watch?v=IuBYBHU3XpQ
sW0a9hWc_xY,"Once Around R136a1","R136a1",84.676650,-69.100933,false,https://www.youtube.com/watch?v=sW0a9hWc_xY
RT2g9e345QQ,"A new look at Alpha Centauri","Alpha Centauri",219.902083,-60.833889,false,https://www.youtube.com/watch?v=RT2g9e345QQ
F5puFTHy0Lo,"Once Around Fomalhaut","Fomalhaut",344.412693,-29.622237,false,https://www.youtube.com/watch?v=F5puFTHy0Lo
ZO_i2SNDrXw,"Once Around Beta Lyrae","Beta Lyrae",282.519980,33.362667,false,https://www.youtube.com/watch?v=ZO_i2SNDrXw
esH5I1m46sk,"Once Around The Garnet Star","The Garnet Star",325.876915,58.780046,false,https://www.youtube.com/watch?v=esH5I1m46sk
N09uNWcY7Nk,"Once Around Mira","Mira",34.836634,-2.977638,false,https://www.youtube.com/watch?v=N09uNWcY7Nk
LQxpAm4pFyk,"Once Around Kapteyn's Star","Kapteyn's Star",77.919124,-45.018434,false,https://www.youtube.com/watch?v=LQxpAm4pFyk
7MX76GfvKyE,"Once Around QB1","QB1",42.539292,18.033556,true,https://www.youtube.com/watch?v=7MX76GfvKyE
xX8jxrSc_ok,"Once around Pollux","Pollux",116.328958,28.026199,false,https://www.youtube.com/watch?v=xX8jxrSc_ok
_BKLCYu_yR8,"Once Around Castor","Castor",113.649472,31.888282,false,https://www.youtube.com/watch?v=_BKLCYu_yR8
GMs7oqvHJ9w,"Once Around The Pistol Star","The Pistol Star",266.563500,-28.834328,false,https://www.youtube.com/watch?v=GMs7oqvHJ9w
mr-4qx4TonI,"Once Around The Magellanic Clouds","The Magellanic Clouds",80.894167,-69.756111,false,https://www.youtube.com/watch?v=mr-4qx4TonI
QjHyei4PRWw,"The Milky Way's Family Tree","Galactic Center",266.416667,-29.007778,false,https://www.youtube.com/watch?v=QjHyei4PRWw
kFVpcocENxI,"Once Around The Goblin","The Goblin",7.155542,15.198000,true,https://www.youtube.com/watch?v=kFVpcocENxI
SH2KZQrJaf4,"Once Around Vega","Vega",279.234735,38.783689,false,https://www.youtube.com/watch?v=SH2KZQrJaf4
7CCD_k8Ng0k,"Once Around Mercury","Mercury",290.459917,-23.843917,true,https://www.youtube.com/watch?v=7CCD_k8Ng0k
ioUvGDRMrC8,"Once Around Asteroid Apophis","Asteroid Apophis",319.710458,-14.694778,true,https://www.youtube.com/watch?v=ioUvGDRMrC8
SIJx3967olA,"Once Around Altair","Altair",297.695827,8.868321,false,https://www.youtube.com/watch?v=SIJx3967olA
aKMmeLhVRC4,"Once Around TON618","TON618",187.104025,31.477119,false,https://www.youtube.com/watch?v=aKMmeLhVRC4
Gf-2Fpt1T58,"Once Around Venus","Venus",297.338750,-22.025250,true,https://www.youtube.com/watch?v=Gf-2Fpt1T58
OeNtqQwKvCA,"Once Around Deneb","Deneb",310.357980,45.280339,false,https://www.youtube.com/watch?v=OeNtqQwKvCA
yNw0J44zF4o,"Once Around Tabbys Star","Tabbys Star",301.564386,44.456886,false,https://www.youtube.com/watch?v=yNw0J44zF4o
nmLQ9pw4BWs,"Once Around Vesta","Vesta",294.303375,-22.536139,true,https://www.youtube.com/watch?v=nmLQ9pw4BWs
3MV2FpcgjtQ,"Once Around Ceres","Ceres",290.459917,-23.843917,true,https://www.youtube.com/watch?v=3MV2FpcgjtQ
xgSF8C5epm8,"Once Around Albireo","Albireo",292.680315,27.959674,false,https://www.youtube.com/watch?v=xgSF8C5epm8
h2VJ7Zj0P_8,"Once Around the Hyades","the Hyades",67.614167,16.778611,false,https://www.youtube.com/watch?v=h2VJ7Zj0P_8
nhdcc_PgQZs,"Once Around The Crab Nebula","The Crab Nebula",83.632500,22.017500,false,https://www.youtube.com/watch?v=nhdcc_PgQZs
4S9gCsfnSGE,"Once Around the Whirlpool Galaxy","the Whirlpool Galaxy",202.469575,47.195258,false,https://www.youtube.com/watch?v=4S9gCsfnSGE
NY1SsOGM_yw,"Once Around Eta Carina","Eta Carina",161.264774,-59.684431,false,https://www.youtube.com/watch?v=NY1SsOGM_yw
Dt4dnqlzlQs,"Once Around Sagittarius A","Sagittarius A",266.416817,-29.007825,false,https://www.youtube.com/watch?v=Dt4dnqlzlQs
5PApG9c0v6c,"Once Around The Beehive Cluster","The Beehive Cluster",129.993333,19.609167,false,https://www.youtube.com/watch?v=5PApG9c0v6c
sipNso1zklg,"Once Around The Pleiades","The Pleiades",56.658333,24.178056,false,https://www.youtube.com/watch?v=sipNso1zklg
aJbsl1est88,"Once Around Ultima Thule","Ultima Thule",296.809417,-19.467083,true,https://www.youtube.com/watch?v=aJbsl1est88
z3AvYfuXpb8,"Once Around Arcturus","Arcturus",213.915300,19.182409,false,https://www.youtube.com/watch?v=z3AvYfuXpb8
rnrTCepk6aA,"Once Around Capella","Capella",79.172328,45.997991,false,https://www.youtube.com/watch?v=rnrTCepk6aA
tstA9fSPnPU,"Once Around Algol - the demon star","Algol - the demon star",47.042219,40.955647,false,https://www.youtube.com/watch?v=tstA9fSPnPU
7vjTKGN2VD8,"Once Around Przybylskis Star","Przybylskis Star",174.404337,-46.709688,false,https://www.youtube.com/watch?v=7vjTKGN2VD8
